id;supplier_code;supplier_name;supplier_credit_limit;is_active;location_id
1;Cotton Forge New Mexico;port Pants Shirt;3667;true;1
2;open-source Kuwait optical;online Utah COM;20584;true;2
3;Computers;Rustic Granite Bike Program Generic Wooden Bike;45219;false;3
4;Incredible Sleek Arizona;Shirt Architect Developer;493;false;4
5;model Facilitator Minnesota;Borders;48884;false;5
6;Burundi Steel Plastic;capacitor;20185;true;6
7;Chips blue feed;communities;86814;true;7
8;Quality-focused;parsing Identity;68324;false;8
9;Polarised transmitting;Rhode Island Music Data;68952;true;9
10;Savings Account Branding navigating;payment Incredible deposit;99941;true;10
