id;document_prefix;document_postfix;current_number;document_id;location_id
1;Mall Investment Account;scalable Configuration calculating;96502;1;1
2;Frozen matrix;mint green streamline Mobility;72159;2;2
3;Refined Soft Keyboard synthesizing;indigo Bacon Mouse;81457;3;3
4;payment;National structure;58830;4;4
5;Tanzanian Shilling Lights;e-enable Plaza intranet;74760;5;5
6;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;54284;6;6
7;experiences;Credit Card Account;33490;7;7
8;Wooden optical Investment Account;reboot South Carolina;99769;8;8
9;copy;Robust hack Electronics;56988;9;9
10;connect USB scalable;Bosnia and Herzegovina generate Creek;60395;10;10
